category,keyword,importance_score,avg_tfidf,std_tfidf
PM,以上,0.04742631462271457,0.0457341437079157,0.03700016612546703
PM,働き,0.04719725833211801,0.04567953732804194,0.03322540228848519
PM,リモート,0.04717843045935236,0.045772636972301814,0.03071253001878032
PM,アップ,0.0464179383615612,0.04404479359561062,0.053880256262276584
PM,提案,0.04554468491935084,0.04198081456787265,0.08489283469515072
PM,サービス,0.04475633294454487,0.04295260661355875,0.0419934079254864
PM,比企,0.04449037777208808,0.04180354524504849,0.06427283885349015
PM,長生,0.04449037777208808,0.04180354524504849,0.06427283885349015
インフラ,エンジニア,0.1586467056497821,0.14607199373258503,0.08608571428290115
インフラ,案件,0.15825729198402963,0.1409780651043561,0.12256677566742721
インフラ,研修,0.11143541089140013,0.0989260858349508,0.12645122821618554
インフラ,開発,0.09475926846706857,0.08834527351436125,0.07260144994247676
